Location	Name	ID	Count	Slots
Any Slot	Bloodstar Pendant +5	1536	1	10
Any Slot-Slot7	Empty	0	0	0
Any Slot-Slot8	Empty	0	0	0
Any Slot-Slot9	Empty	0	0	0
Any Slot-Slot10	Empty	0	0	0
Ear	Ornament of the Oracle +4	177866	1	10
Ear-Slot7	Empty	0	0	0
Ear-Slot8	Empty	0	0	0
Ear-Slot9	Empty	0	0	0
Ear-Slot10	Empty	0	0	0
Head	Midnight Clad Headband +1	177801	1	10
Head-Slot1	Empty	0	0	0
Head-Slot7	Empty	0	0	0
Face	Tobrin's Mystical Eyepatch +1	11052	1	10
Face-Slot7	Empty	0	0	0
Ear	Drop of Crystallized Flame +4	177839	1	10
Ear-Slot7	Empty	0	0	0
Ear-Slot8	Empty	0	0	0
Ear-Slot9	Empty	0	0	0
Ear-Slot10	Empty	0	0	0
Neck	Talisman of Kejaar Kerrath +7	177931	1	10
Neck-Slot1	Empty	0	0	0
Neck-Slot7	Black Alloy Medallion (Exaltation)	3615	1	10
Neck-Slot8	Empty	0	0	0
Neck-Slot9	Empty	0	0	0
Neck-Slot10	Empty	0	0	0
Shoulders	Pauldrons of Power +5	1542	1	10
Shoulders-Slot7	Empty	0	0	0
Shoulders-Slot8	Empty	0	0	0
Shoulders-Slot9	Empty	0	0	0
Shoulders-Slot10	Empty	0	0	0
Arms	Insidious Sleeves +4	1248	1	10
Arms-Slot2	Empty	0	0	0
Arms-Slot7	Empty	0	0	0
Arms-Slot8	Empty	0	0	0
Arms-Slot9	Empty	0	0	0
Arms-Slot10	Empty	0	0	0
Back	White Dragonscale Cloak +4	11603	1	10
Back-Slot7	White Dragonscale Cloak (Exaltation)	11603	1	10
Back-Slot8	Empty	0	0	0
Back-Slot9	Empty	0	0	0
Back-Slot10	Empty	0	0	0
Wrist	Loam Encrusted Bracelet +2	1649	1	10
Wrist-Slot2	Empty	0	0	0
Wrist-Slot7	Empty	0	0	0
Wrist-Slot8	Empty	0	0	0
Wrist	Golden Chitin Bracer +3	4408	1	10
Wrist-Slot2	Empty	0	0	0
Wrist-Slot7	Empty	0	0	0
Wrist-Slot8	Empty	0	0	0
Wrist-Slot9	Empty	0	0	0
Range	The Artist's Brush +5	177843	1	10
Range-Slot1	Empty	0	0	0
Range-Slot7	The Artist's Brush (Exaltation)	177843	1	10
Range-Slot8	Empty	0	0	0
Range-Slot9	Empty	0	0	0
Range-Slot10	Empty	0	0	0
Hands	Midnight Clad Fistwraps	177798	1	10
Hands-Slot1	Empty	0	0	0
Primary	Eye of Innoruuk +6	20656	1	10
Primary-Slot7	Empty	0	0	0
Primary-Slot8	Golem Metal Wand (Exaltation)	14313	1	10
Primary-Slot9	Empty	0	0	0
Primary-Slot10	Empty	0	0	0
Secondary	Rokyls Channelling Crystal +5	10219	1	10
Secondary-Slot2	Empty	0	0	0
Secondary-Slot7	Rokyls Channelling Crystal (Exaltation)	10219	1	10
Secondary-Slot8	Empty	0	0	0
Secondary-Slot9	Empty	0	0	0
Secondary-Slot10	Empty	0	0	0
Fingers	Ring of Pureblood +4	1540	1	10
Fingers-Slot7	Djarn's Amethyst Ring (Exaltation)	10366	1	10
Fingers-Slot8	Empty	0	0	0
Fingers-Slot9	Empty	0	0	0
Fingers-Slot10	Empty	0	0	0
Fingers	Engineer's Ring +5	1545	1	10
Fingers-Slot7	Moonstone Ring (Exaltation)	10150	1	10
Fingers-Slot8	Empty	0	0	0
Fingers-Slot9	Empty	0	0	0
Fingers-Slot10	Empty	0	0	0
Chest	Crimson Robe of Alendine +5	11641	1	10
Chest-Slot2	Empty	0	0	0
Chest-Slot7	Shining Metallic Robes (Exaltation)	1360	1	10
Chest-Slot8	Empty	0	0	0
Chest-Slot9	Empty	0	0	0
Chest-Slot10	Empty	0	0	0
Legs	Ishva Mas Leggings +3	177924	1	10
Legs-Slot7	Ishva Mas Leggings (Exaltation)	177924	1	10
Legs-Slot8	Empty	0	0	0
Legs-Slot9	Empty	0	0	0
Feet	Golden Efreeti Boots +6	4407	1	10
Feet-Slot2	Empty	0	0	0
Feet-Slot7	Golden Efreeti Boots (Exaltation)	4407	1	10
Feet-Slot8	Empty	0	0	0
Feet-Slot9	Empty	0	0	0
Feet-Slot10	Empty	0	0	0
Waist	Bone-Clasped Girdle +4	11666	1	10
Waist-Slot7	Empty	0	0	0
Waist-Slot8	Empty	0	0	0
Waist-Slot9	Empty	0	0	0
Waist-Slot10	Empty	0	0	0
Any Slot	Crimson Robe of Alendine +5	11641	1	10
Any Slot-Slot2	Empty	0	0	0
Any Slot-Slot7	Robe of the Oracle (Exaltation)	1354	1	10
Any Slot-Slot8	Empty	0	0	0
Any Slot-Slot9	Empty	0	0	0
